Description,Africa-America,Africa-CentralAsia,Africa-EastAsia,Africa-SouthAsia,America-CentralAsia,America-EastAsia,America-SouthAsia,CentralAsia-EastAsia,CentralAsia-SouthAsia,EastAsia-SouthAsia
AC242022.1,0.3312,0.0979,0.3286,0.0001,0.5949,0.6965,0.7184,0.7201,0.4546,0.72
ACTRT2,0.3335,0.0001,0.0001,0.0315,1.0,0.7147,0.4459,0.0001,0.3597,0.0253
PRDM16,0.0918,0.0001,0.0984,0.3247,1.0,0.5723,0.7593,1.0,1.0,0.5317
AL512383.1,0.721,0.949,0.7148,0.0562,0.0001,0.0001,0.0821,0.0001,0.1863,0.0816
ARHGEF16,0.335,0.0001,0.0001,0.0249,1.0,0.7087,0.7939,0.0001,0.2542,0.0977
MEGF6,0.4313,0.4158,0.9285,0.4966,0.7695,0.1395,0.8484,0.1583,0.7301,0.2619
AL513320.1,0.6659,0.57,0.0857,0.8229,0.6861,0.0718,0.6695,0.0665,0.7282,0.0136
TPRG1L,0.9968,0.3871,0.4617,0.4939,0.3008,0.5134,0.4938,0.1989,0.9063,0.2444
WRAP73,0.932,0.2344,0.2839,0.3798,0.3713,0.4763,0.5313,0.207,0.8278,0.2532
TP73,0.3293,0.2688,0.4849,0.806,0.2176,0.7926,0.4027,0.2705,0.4056,0.5406
AL136528.1,0.2307,0.0722,0.5524,0.0842,0.6066,0.3763,0.1354,0.3617,0.0956,0.5704
AL136528.2,0.1007,0.102,0.105,0.0001,0.5469,1.0,0.2439,0.5721,0.462,0.4613
TP73-AS1,0.2497,0.6412,0.4453,0.5946,0.1818,0.8927,0.1676,0.4891,0.9601,0.4103
RF02197,0.815,0.5943,0.8181,0.4129,0.9817,0.9482,0.9862,0.5627,0.6145,0.5299
SMIM1,0.8045,0.8764,0.9814,0.5861,0.7545,0.8938,0.7599,0.9085,0.5995,0.6988
LRRC47,0.65,0.6265,0.7118,0.7437,0.4399,0.8774,0.5332,0.4618,0.8132,0.5399
RN7SL574P,1.0,1.0,0.7943,0.3406,0.9931,0.7434,0.5717,0.6565,0.7337,0.8755
AL365330.1,0.2057,0.5118,0.1988,0.9083,0.0492,0.9075,0.2057,0.0826,0.5086,0.229
CEP104,0.2062,0.9423,0.0883,0.6434,0.3124,0.6575,0.1669,0.2085,0.5833,0.0984
DFFB,0.0839,0.5981,0.7784,0.2533,0.0196,0.2442,0.0084,0.4466,0.3452,0.2398
C1orf174,0.3342,0.4194,0.1996,0.3329,0.1069,0.7497,0.0841,0.0885,0.8868,0.0629
LINC01134,0.6109,0.5425,0.8609,0.8631,0.3223,0.6095,0.8135,0.6534,0.2905,0.7396
LINC01346,0.1443,0.0001,0.3396,0.0996,1.0,1.0,0.5718,1.0,0.2312,0.287
AL805961.2,0.9501,0.9487,1.0,0.0992,0.0001,0.2832,0.4638,1.0,0.2269,0.4682
AJAP1,0.995,0.7747,0.9715,0.9584,0.1286,0.6948,0.9083,0.4571,0.2221,0.6205
NPHP4,0.0047,0.1358,0.0089,0.2482,0.4505,0.9354,0.1321,0.561,0.6863,0.2798
KCNAB2,0.3382,0.8045,0.2393,0.7804,0.3122,0.812,0.5671,0.2677,0.6539,0.4552
CHD5,0.1059,0.1796,0.1544,0.0188,0.7825,0.9025,0.5958,0.834,0.5603,0.7671
RPL22,0.8792,0.6213,0.5555,0.4757,0.8013,0.5882,0.6881,0.4353,0.9113,0.3091
AL031847.1,0.1438,0.2574,0.7117,0.832,0.7548,0.2314,0.1294,0.3573,0.1086,0.8791
RNF207,0.3049,0.3168,0.0414,0.9819,0.934,0.4421,0.3922,0.5331,0.4389,0.153
ICMT,0.0601,0.7399,0.0985,0.9335,0.1811,0.7453,0.0766,0.228,0.6831,0.1245
LINC00337,0.0143,0.0702,0.5447,0.6356,0.4693,0.1805,0.0938,0.3942,0.1762,0.8899
GPR153,0.7284,0.8422,0.6768,0.3232,0.8629,0.9573,0.0284,0.9591,0.0129,0.1423
ACOT7,0.0653,0.2353,0.6453,0.2415,0.5274,0.1297,0.5814,0.313,0.9992,0.3116
AL031848.2,0.4073,0.596,0.9589,0.8613,0.1903,0.5104,0.5859,0.5177,0.3768,0.9205
HES2,0.1816,0.1637,0.2592,0.8207,0.7248,0.0302,0.109,0.0366,0.0921,0.4135
ESPN,0.0292,0.7144,0.7927,0.1968,0.1184,0.1836,0.5108,0.8059,0.1495,0.4224
TNFRSF25,0.7886,0.3695,0.5305,1.0,0.1942,0.7611,0.8376,0.1872,0.3292,0.5159
PLEKHG5,0.0275,0.8352,0.1787,0.6992,0.165,0.7754,0.0215,0.4511,0.5691,0.2342
NOL9,0.2469,0.8767,0.918,0.8587,0.4438,0.4674,0.3528,0.9838,0.9954,0.9649
RNU6-731P,0.0001,0.2017,0.0814,0.003,0.4665,0.4346,0.0654,0.8573,0.2056,0.4238
AL591866.1,0.3481,0.9172,0.355,0.2225,0.4092,0.2389,0.1043,0.5229,0.4334,0.9689
TAS1R1,0.1964,0.9979,0.9999,0.0131,0.2367,0.3678,0.2762,0.8847,0.0897,0.0789
ZBTB48,0.5293,0.6738,0.5903,0.7941,0.3401,0.977,0.4535,0.5071,0.8807,0.5574
KLHL21,0.0314,0.7119,0.1962,0.9077,0.1363,0.6406,0.0512,0.4662,0.5521,0.2291
PHF13,0.1947,0.8154,0.2451,0.6043,0.1527,0.8804,0.0808,0.1604,0.7254,0.1083
THAP3,0.7896,0.6576,0.5887,0.9321,0.5018,0.7088,0.9103,0.4192,0.6155,0.7302
DNAJC11,0.3042,0.9725,0.1924,0.9983,0.3546,0.7559,0.4142,0.3027,0.9802,0.3204
LINC01672,0.7129,0.9724,0.7148,0.6379,0.4598,0.0001,1.0,0.4584,0.8428,1.0
AL591163.1,0.9099,0.9483,0.7184,0.1626,1.0,1.0,0.622,0.0001,0.6189,0.1381
CAMTA1-DT,0.8854,0.9492,0.9807,0.3817,0.8603,0.8977,0.4881,0.981,0.3699,0.257
CAMTA1,0.0092,0.1979,0.2529,0.1569,0.1941,0.1193,0.1414,0.8122,0.9719,0.8156
AL590128.1,0.7039,0.3763,0.2162,0.4728,0.4079,0.0768,0.3594,0.9792,0.6988,0.6731
VAMP3,0.0187,0.9029,0.0273,0.7029,0.0382,0.8566,0.0449,0.0321,0.8919,0.0432
Z98884.2,0.5995,0.4399,0.0967,0.4238,0.4632,0.0634,0.5811,0.7456,0.3141,0.0336
PER3,0.4173,0.3202,0.6104,0.2052,0.878,0.6951,0.8602,0.3003,0.7871,0.1406
Z98884.1,0.4939,0.7701,0.9201,0.8425,0.5604,0.0809,0.4573,0.4765,0.9079,0.5331
UTS2,0.0684,0.3699,0.0765,0.3938,0.4982,0.8159,0.0014,0.4636,0.0066,0.0004
TNFRSF9,0.3338,0.6261,0.0329,0.7193,0.0921,0.2334,0.1338,0.0648,0.7292,0.0495
PARK7,0.0062,0.1326,0.4924,0.0333,0.0517,0.0587,0.2594,0.4906,0.3712,0.2196
AL034417.4,0.0588,0.1279,0.0754,0.1154,1.0,0.998,0.8905,0.9993,0.9266,0.9615
