Description,Africa-America,Africa-CentralAsia,Africa-EastAsia,Africa-SouthAsia,America-CentralAsia,America-EastAsia,America-SouthAsia,CentralAsia-EastAsia,CentralAsia-SouthAsia,EastAsia-SouthAsia
RBP7,1.0,0.4028,0.3129,0.7964,0.4504,0.3452,0.9914,0.0001,0.0911,0.1971
UBE4B,0.4076,0.7111,0.113,0.383,0.2409,0.4422,0.1177,0.1371,0.5581,0.0732
AL590639.1,0.2899,0.8507,0.6212,0.9918,0.6583,0.6652,0.5869,0.9618,0.9974,0.8489
PGAM1P11,0.3172,0.7756,0.6934,1.0,0.1743,0.3976,0.2078,0.9429,0.7853,0.7587
KIF1B,0.9747,0.33,0.4186,0.5505,0.2634,0.3989,0.5266,0.0118,0.5168,0.0912
RNU6-37P,0.7609,0.9303,0.8785,0.299,0.4672,0.2133,0.1724,0.8052,0.7003,0.4264
RN7SL731P,0.2313,0.5043,0.5933,0.2126,0.5489,0.3319,0.0073,0.8086,0.0425,0.0422
AL139424.3,0.0352,0.1386,0.7819,0.0995,0.532,0.1146,0.0063,0.2995,0.0644,0.3789
AL139424.2,0.7405,0.9424,0.5128,0.0286,0.9061,0.7894,0.1422,0.6485,0.0839,0.2554
PGD,0.4218,0.2551,0.9967,0.265,0.7762,0.5848,0.7776,0.4494,0.9876,0.4282
AL139424.1,0.8697,0.1995,0.6799,0.8532,0.228,0.9882,0.777,0.2658,0.2869,0.5431
CENPS,0.2778,0.4721,0.365,0.2842,0.7129,0.2173,0.9708,0.3404,0.7125,0.2253
CORT,0.7642,0.5534,0.8436,0.4377,0.6643,0.6197,0.293,0.4439,0.2546,0.5976
DFFA,0.9394,0.9567,0.5252,0.7479,0.9198,0.5616,0.8405,0.6318,0.733,0.4096
AL354956.1,0.8938,0.9596,0.4369,0.3915,0.9003,0.5833,0.5517,0.564,0.53,0.9629
PEX14,0.8747,0.5242,0.791,0.7656,0.4423,0.9007,0.7503,0.3502,0.7755,0.5914
RN7SL614P,0.101,0.0794,0.3315,0.0001,1.0,0.6544,0.237,0.2548,0.1948,0.725
CASZ1,0.95,0.6563,0.0941,0.696,0.5634,0.197,0.5975,0.1465,0.9624,0.1215
AL139423.1,0.988,0.563,0.2749,0.6926,0.4542,0.3861,0.6426,0.1909,0.792,0.2321
HSPE1P24,0.6255,0.949,0.9549,1.0,1.0,1.0,1.0,0.0001,1.0,0.4362
C1orf127,0.1527,0.7684,0.8774,0.6105,0.2066,0.3677,0.4994,0.7683,0.65,0.7251
CFL1P6,0.1352,0.9132,0.7088,0.8935,0.4429,0.3896,0.3163,0.4604,0.8025,0.2881
TARDBP,0.2799,0.8632,0.2465,0.2589,0.3112,0.9114,0.0876,0.3282,0.3216,0.0777
MASP2,0.0011,0.334,0.0055,0.1612,0.0431,0.8936,0.0517,0.1805,0.7282,0.1667
AL109811.2,0.8356,0.9782,0.4793,0.0125,0.8677,0.4599,0.0268,0.5464,0.0476,0.2021
SRM,0.3624,0.8931,0.4801,0.4213,0.4892,0.8645,0.937,0.564,0.5067,0.8952
EXOSC10,0.1525,0.4416,0.6741,0.0084,0.394,0.2961,0.0752,0.7032,0.0238,0.0257
AL109811.1,0.0263,0.1684,0.7196,0.1741,0.3664,0.329,0.5329,0.6785,0.9553,0.6042
EXOSC10-AS1,0.1062,0.4484,0.1418,0.1182,0.4095,1.0,0.0059,0.4975,0.0199,0.0156
MTOR,0.1221,0.5988,0.1412,0.1501,0.3374,0.8118,0.0086,0.4677,0.0476,0.0259
MTOR-AS1,0.5358,0.7861,0.272,0.2703,0.9021,0.5062,0.9856,0.6691,0.5105,0.6951
ANGPTL7,0.8028,0.7701,0.3044,0.7992,0.8589,0.4246,1.0,0.6006,0.8635,0.5821
RPL39P6,0.3312,0.0001,0.3298,0.3382,1.0,0.691,0.694,1.0,1.0,0.696
UBIAD1,0.0606,0.9791,0.4348,0.8808,0.1437,0.3227,0.1613,0.4544,0.8714,0.6015
UBE2V2P3,0.9184,0.6808,0.0302,0.4966,0.6876,0.0849,0.6289,0.1947,0.9986,0.2832
DISP3,0.6987,0.8618,0.7692,0.244,0.4176,0.9018,0.6957,0.7317,0.2677,0.5922
LINC01647,0.0954,0.0001,0.0001,0.0233,1.0,1.0,0.8757,0.0001,0.2446,0.2173
AL031731.1,0.5747,1.0,0.2329,0.473,0.7054,0.1752,0.887,0.2914,0.583,0.1663
FBXO2,0.0984,0.4076,0.9477,0.47,0.1109,0.0342,0.1554,0.1939,0.8421,0.2783
FBXO44,0.8102,0.561,0.2117,0.9024,0.6216,0.225,0.7018,0.1506,0.3799,0.3393
FBXO6,0.4279,0.4544,0.4577,0.4267,0.9982,0.3047,0.997,0.3486,0.9879,0.2871
MAD2L2,0.5571,0.2517,0.8029,0.6086,0.5891,0.7911,0.9379,0.4752,0.5457,0.8388
DRAXIN,0.4246,0.5281,0.4006,0.637,0.9874,0.9577,0.7136,0.8733,0.8472,0.6253
AGTRAP,0.3118,0.8407,0.8737,0.3472,0.5261,0.235,0.9199,0.7523,0.5743,0.2728
C1orf167,0.1266,0.9046,0.0467,0.8705,0.1502,0.5239,0.2572,0.2703,0.8079,0.2423
MTHFR,0.83,0.4481,0.153,0.8507,0.4154,0.3376,0.7142,0.1568,0.5071,0.2199
CLCN6,0.1915,0.9818,0.0192,0.9037,0.1969,0.2928,0.1375,0.0848,0.9202,0.041
RF02156,0.0629,0.0025,0.0338,0.8822,0.3073,0.4402,0.2063,0.786,0.0363,0.2605
RF02157,0.5246,0.9514,0.8045,0.2927,0.647,0.5591,0.2571,0.7875,0.4948,0.5392
NPPA,0.5925,0.9981,0.4128,0.8999,0.5329,0.431,0.4901,0.7138,0.9028,0.6335
RF02158,0.7836,0.9745,0.1577,0.7833,0.8503,0.424,1.0,0.6971,0.8088,0.7102
NPPB,0.7126,0.9455,0.1164,0.1674,0.0001,0.4558,0.0746,0.4222,1.0,0.7221
AL021155.2,0.5153,0.9917,0.8895,0.0256,0.6035,0.4411,0.2124,0.9209,0.1777,0.0974
RNU5E-1,0.0855,0.201,0.0909,0.0496,0.9838,0.3055,0.7763,1.0,0.7337,0.7327
RNU5E-4P,0.9854,0.4586,0.9675,0.1735,0.1842,0.9949,0.2231,0.4212,0.0213,0.2104
KIAA2013,0.3071,0.3683,0.7909,0.9632,0.1621,0.4988,0.3695,0.2006,0.3835,0.964
PLOD1,0.4289,0.2936,0.6057,0.8755,0.7176,0.3367,0.738,0.2774,0.7089,0.8602
MFN2,0.5064,0.6323,0.3215,0.4308,0.1585,0.7043,0.1357,0.2104,0.739,0.1429
MIIP,0.7774,0.5752,0.6212,0.8747,0.6468,0.6122,0.6486,0.5083,0.427,0.7986
RF00019,0.309,1.0,0.8642,0.304,0.4515,0.2783,0.0001,0.8048,0.4656,0.7213
RN7SL649P,0.2545,0.7356,0.5904,0.2149,0.463,0.4643,0.1074,0.6422,0.2603,0.6982
TNFRSF8,0.8628,0.5783,0.62,0.3907,0.5647,0.52,0.3249,0.3367,0.6399,0.2292
RNU6-777P,0.5327,0.5582,0.7896,0.541,0.0001,0.4296,0.1053,1.0,0.2486,0.7963
RPL23AP89,0.5314,0.8189,0.5156,0.3416,0.2693,0.1839,0.0381,0.3497,0.1176,0.8099
AL357835.1,0.6465,0.8307,0.2544,0.1728,0.4315,0.2642,0.153,0.5634,0.4101,0.9407
TNFRSF1B,0.5845,0.6007,0.5085,0.5138,0.3054,0.9403,0.2822,0.1351,0.9534,0.1337
VPS13D,0.4443,0.97,0.1112,0.3683,0.4357,0.4574,0.1151,0.2073,0.4026,0.0496
SNORA59A,0.4053,0.8859,0.5731,0.4804,0.5544,0.8719,0.2301,0.5574,0.4578,0.0901
DHRS3,0.0832,0.3808,0.7537,0.2396,0.5672,0.0374,0.6087,0.2674,0.8771,0.1377
C1orf158,0.5339,0.5573,0.5421,0.4714,0.0001,0.0001,1.0,0.0001,1.0,1.0
PRAMEF12,0.7127,0.9474,0.7095,0.5019,0.0001,0.0001,0.4635,0.0001,0.329,0.4519
HNRNPCL1,0.5349,0.2911,1.0,0.2888,0.0001,0.2943,0.071,1.0,1.0,0.5373
PRAMEF6,0.3299,0.0001,0.0001,0.0979,1.0,0.7123,0.6456,0.0001,0.3326,0.4562
HNRNPCL2,0.7921,0.5534,0.8613,0.0618,1.0,1.0,0.2228,1.0,0.2815,0.228
PRAMEF19,0.5354,0.6759,0.5407,0.5324,0.4573,0.0001,0.0001,0.4612,0.46,0.0001
PRAMEF17,0.9584,0.785,0.3306,0.3206,1.0,0.71,0.7064,0.0001,0.0001,0.0001
PRAMEF20,0.9507,0.9527,0.9511,0.1363,0.0001,0.0001,0.4635,0.0001,0.3237,0.4674
PDPN,0.6358,0.6338,0.6342,0.766,0.0001,0.0001,0.0684,0.0001,1.0,0.0703
PRDM2,0.3819,0.9412,0.0996,0.7905,0.2574,0.403,0.2235,0.1252,0.8255,0.0939
KAZN,0.7588,0.5822,0.5849,0.8762,0.0728,0.0618,0.5928,0.0137,0.0793,0.1207
KAZN-AS1,0.9499,0.9505,0.9547,0.1671,0.0001,0.0001,0.4663,0.0001,0.2061,0.4661
TBCAP2,0.5296,0.2781,0.5737,0.3753,0.0001,0.2858,0.4577,1.0,0.3388,0.7209
TMEM51-AS1,0.3811,0.4829,0.3103,0.1125,1.0,0.0718,0.0575,0.1365,0.1001,0.5743
TMEM51,0.3543,0.4566,0.0291,0.7934,0.796,0.0017,0.2493,0.0103,0.3558,0.0193
AL035405.1,0.7613,0.7756,0.7718,0.9343,0.0001,0.0001,0.2933,0.0001,1.0,0.2854
FHAD1,0.7022,0.1855,0.512,1.0,0.1122,0.611,0.4989,0.1848,0.0153,0.3096
AL031283.2,0.3694,0.5654,0.1676,0.3622,0.9876,0.736,1.0,0.3022,0.8014,0.5309
AL031283.1,0.8185,0.1639,0.3301,0.4765,0.457,0.2631,0.6025,0.0219,0.0684,1.0
EFHD2,0.6232,0.5028,0.468,0.6706,0.3057,0.7308,0.3748,0.2366,0.7915,0.3159
CTRC,0.3399,0.6084,0.8225,0.1134,0.4645,0.794,0.7922,0.9228,0.1885,0.5783
CELA2B,0.5398,0.5497,1.0,1.0,0.0001,0.2894,0.0721,1.0,1.0,0.6962
CASP9,0.3599,0.7014,0.444,0.3405,0.0933,0.9542,0.08,0.1909,0.4789,0.1265
DNAJC16,0.6353,0.7052,0.6948,0.3645,0.3714,0.9523,0.1645,0.4335,0.5278,0.2247
AL121992.3,0.5379,0.5186,0.0883,0.6826,0.9035,0.3154,0.9046,0.4369,0.7354,0.2189
AGMAT,0.3187,0.458,0.666,0.5201,0.7713,0.6842,0.2973,0.8859,0.2721,0.4884
AL121992.1,0.3179,0.4696,0.2126,0.3128,0.8187,0.7664,0.9575,0.7251,0.7833,0.7394
CHCHD2P6,0.8254,0.163,0.5653,0.7063,0.3477,0.635,0.8185,0.3114,0.3335,0.5097
DDI2,0.2393,0.7845,0.1463,0.2852,0.4044,0.8131,0.1022,0.3468,0.1115,0.0582
RSC1A1,0.0056,0.1363,0.026,0.7821,0.2377,0.9815,0.0386,0.3449,0.1836,0.107
AL121992.2,0.7713,0.0944,0.1558,0.4864,0.3053,0.5601,0.7115,0.4703,0.4424,0.6808
PLEKHM2,0.236,0.8278,0.1565,0.9434,0.16,0.7294,0.2498,0.2139,0.8504,0.2464
AL450998.3,0.2113,0.8843,0.0413,0.3536,0.2834,0.4957,0.8297,0.1524,0.4595,0.395
SLC25A34,0.2323,0.8508,0.0636,0.0139,0.4557,0.515,0.2796,0.3297,0.1346,0.8651
SLC25A34-AS1,0.866,0.9984,0.3692,0.4128,0.6031,0.9868,0.7222,0.6421,0.4536,0.906
FBLIM1,0.0538,0.9234,0.9516,0.0002,0.4299,0.3525,0.313,0.8012,0.0238,0.0089
RPL12P14,0.7028,0.4102,0.7596,0.0738,1.0,0.455,0.0554,0.3306,0.0129,0.5431
UQCRHL,0.6877,0.6803,0.5834,0.2281,0.9627,0.8677,0.4328,0.9071,0.496,0.5962
AL450998.1,1.0,0.6845,0.4657,0.1974,1.0,0.7817,0.3703,0.3584,0.3704,0.5457
AL450998.2,0.3093,0.5451,0.2109,0.1837,0.1789,0.8118,0.7325,0.1439,0.2314,0.7849
SPEN,0.0047,0.4933,0.0177,0.9729,0.1096,0.8834,0.0369,0.2229,0.5735,0.0829
AL034555.1,0.3107,0.7332,0.9087,0.8649,0.457,0.2242,0.071,0.6404,0.5315,0.9883
ZBTB17,0.7431,0.4795,0.6208,0.441,0.4085,0.8876,0.7094,0.4369,0.3227,0.8602
AL355994.4,0.9374,0.3799,0.8045,0.2644,0.5717,0.8853,0.3712,0.304,0.1623,0.5709
SRARP,0.7942,0.0783,0.5708,0.1083,0.31,0.9873,0.7246,0.4497,1.0,0.8786
AL355994.3,1.0,0.0763,0.9167,0.1641,0.3204,0.6892,0.8669,0.2898,0.5345,0.8671
HSPB7,0.0835,0.2792,0.0133,0.6639,0.5604,0.4153,0.4412,0.2624,0.8747,0.2138
CLCNKA,0.2532,0.5581,0.1523,0.0712,0.6553,0.0976,0.0808,0.231,0.1497,0.8729
FAM131C,0.197,0.3183,0.0783,0.8783,0.0938,0.072,0.2856,0.4641,0.3681,0.2982
EPHA2,0.0619,0.2148,0.1831,0.2367,0.5603,0.3905,0.3243,0.9565,0.6502,0.8266
AL451042.2,0.3386,0.4032,0.4519,0.4387,0.1874,0.1955,0.9427,0.0001,0.0655,0.0718
ARHGEF19,0.7183,0.5296,0.9395,0.7937,0.7011,0.6389,0.5411,0.433,0.3796,0.8597
ARHGEF19-AS1,0.0841,0.3296,1.0,0.3991,0.3147,0.0598,0.0069,0.2676,0.0376,0.351
ANO7L1,0.1172,0.7399,0.1699,0.9157,0.0189,0.7116,0.116,0.0737,0.9719,0.2723
CPLANE2,0.4095,0.5836,0.386,0.491,0.2211,0.9707,0.1752,0.2067,0.8559,0.1868
MT1XP1,0.1984,0.3269,0.7483,0.9258,0.964,0.6169,0.6621,0.6683,0.661,0.8903
FBXO42,0.5134,0.6777,0.267,0.6068,0.4109,0.6592,0.351,0.2585,0.9339,0.2359
SZRD1,0.0676,0.7364,0.07,0.7194,0.0892,0.8958,0.0704,0.1169,0.99,0.0931
RPL22P3,0.0446,0.7057,0.9376,0.3271,0.1492,0.2149,0.125,0.8451,0.3992,0.5091
SPATA21,0.0099,0.5027,0.0216,0.2553,0.0268,0.9373,0.0109,0.0554,0.6517,0.0258
NECAP2,0.6437,0.2999,0.4733,0.2485,0.4865,0.2844,0.4685,0.111,0.9175,0.095
LINC01772,0.6466,0.5934,0.3202,0.2606,0.8912,0.2765,0.1246,0.2702,0.1217,0.9595
CROCCP3,0.3065,0.8038,0.0405,0.9008,0.1464,0.2919,0.262,0.0578,0.4708,0.0794
RNU1-1,0.7815,0.9503,0.7147,0.1535,1.0,0.716,0.4319,0.0001,0.462,0.2385
AL137802.2,0.4981,0.9435,0.741,0.6096,0.5319,0.3344,0.8629,0.8278,0.6354,0.1998
AL137802.1,0.5279,0.6027,0.5286,0.5719,0.4589,0.0001,0.0701,0.4616,0.5424,0.0763
LINC01783,0.1377,0.9485,1.0,0.0667,0.4083,0.3191,0.4563,1.0,0.4613,0.2493
NBPF1,0.0898,0.5166,0.8771,0.8641,0.0694,0.2189,0.1089,0.2731,0.3755,0.6502
AL137798.1,0.7921,0.6005,1.0,0.3262,0.5133,0.6908,1.0,0.4706,1.0,1.0
CROCCP2,0.639,0.4231,0.7814,0.8729,0.1919,0.9199,0.7481,0.4647,0.2193,0.9262
AL137798.3,0.4186,0.7075,0.0627,0.3809,0.4329,0.4073,0.9092,0.2668,0.3075,0.5067
MST1P2,0.675,0.1174,0.1698,0.3654,0.1072,0.3795,0.3093,0.1034,0.0696,0.775
EIF1AXP1,0.7908,0.8754,0.9159,0.453,0.9169,0.993,0.7404,0.9939,0.6364,0.6405
CROCC,0.7732,0.619,0.7578,0.1082,0.8378,0.7254,0.3069,0.7197,0.3237,0.1611
MST1L,0.5758,0.8388,0.0361,0.9284,0.5465,0.2972,0.7734,0.1735,0.7778,0.2084
BX284668.2,0.5394,1.0,0.6028,0.6813,0.4711,0.461,0.0682,0.6347,0.5367,0.6531
BX284668.5,0.3425,0.5377,0.6215,0.0343,0.7531,0.2973,0.2486,0.4495,0.1054,0.0318
BX284668.4,0.1361,0.5995,0.5348,0.387,0.1881,0.2936,0.4884,0.5132,0.6916,0.4119
RNU1-2,0.2741,0.5554,0.3638,0.0862,0.1794,0.9943,0.9439,0.333,0.2477,0.7684
BX284668.6,0.7841,1.0,0.003,0.1499,0.7431,0.093,0.6435,0.0397,0.43,0.4825
AL049569.1,0.8754,0.8704,0.3692,0.4598,0.5291,0.7484,0.1652,0.4946,0.5823,0.3227
ATP13A2,0.9129,0.7203,0.8494,0.571,0.6586,0.6757,0.4526,0.4467,0.7681,0.3048
SDHB,0.0389,0.2372,0.4003,0.0044,0.2854,0.1705,0.0442,0.6779,0.0095,0.0108
PADI2,0.5944,0.2471,0.5375,0.1886,0.5931,0.9201,0.1654,0.188,0.7594,0.0639
AL590644.1,0.3363,0.2922,0.0001,0.0292,0.8557,0.7151,0.443,0.4606,0.4204,0.1999
PADI1,0.0801,0.9725,0.1359,0.1017,0.5537,0.9447,0.7375,0.8534,0.4619,0.5787
PADI3,0.7225,0.5659,0.2479,0.0144,0.9555,0.8618,0.0829,0.5418,0.0764,0.0526
PADI4,0.3028,0.7859,0.9794,0.5704,0.2763,1.0,0.2349,0.8554,0.8938,0.8229
RCC2,0.4692,0.7353,0.5391,0.5402,0.436,0.9135,0.3708,0.484,0.7123,0.4185
RCC2-AS1,0.0351,0.5669,0.2796,0.5472,0.316,0.4402,0.2103,0.7643,0.9634,0.6813
ARHGEF10L,0.3438,0.6977,0.4831,0.9953,0.0674,0.6857,0.1929,0.1208,0.0959,0.2744
ACTL8,0.4032,0.2197,0.5544,0.0384,0.9016,0.9445,0.3054,0.5916,0.378,0.2062
IGSF21,0.898,0.5794,0.6899,0.391,0.4657,0.458,0.6728,0.735,0.212,0.2855
AL365209.1,0.7189,0.9487,0.8941,0.717,0.0001,0.2803,0.0715,1.0,1.0,0.8598
KLHDC7A,0.8687,0.6069,0.6309,0.7987,1.0,0.7186,0.8632,0.0001,1.0,0.0706
TAS1R2,0.865,0.6075,0.6282,0.8039,1.0,1.0,0.8621,0.0001,1.0,0.0703
ALDH4A1,0.2786,0.3677,0.2978,0.2732,0.9008,0.1521,0.9819,0.2061,0.8518,0.1726
IFFO2,0.205,0.7001,0.0315,0.5719,0.1639,0.3348,0.1506,0.1061,0.8699,0.0795
AL137127.1,0.3115,0.4094,0.7813,0.428,0.9384,0.5545,0.2541,0.6181,0.3344,0.4335
UBR4,0.1425,0.7009,0.0407,0.7745,0.4514,0.5447,0.1621,0.3121,0.5825,0.1131
EMC1-AS1,0.0199,0.1191,0.0518,0.7525,0.4076,0.6448,0.1842,0.4338,0.4468,0.2319
EMC1,0.1349,0.7835,0.19,0.3757,0.1534,0.9534,0.0694,0.2218,0.4878,0.086
MRTO4,0.8409,0.992,0.7219,0.8456,0.8774,0.9063,0.9878,0.8144,0.9194,0.898
AL035413.2,0.0035,0.1286,0.0648,0.0176,0.2297,0.9839,0.3632,0.7918,0.7226,0.9022
AKR7L,0.3498,0.927,0.9907,0.079,0.2862,0.0992,0.3043,0.9761,0.1285,0.0737
AKR7A3,0.0797,0.9806,0.3945,0.0715,0.3249,0.5223,0.6473,0.7134,0.1614,0.7021
AL035413.1,0.3544,0.9177,0.3009,0.2583,0.6005,0.9786,0.8853,0.4157,0.4421,0.8865
AKR7A2,0.7034,0.483,0.5636,0.3386,0.4459,0.8796,0.361,0.3599,0.7904,0.264
PQLC2,0.601,0.9432,0.4141,0.9425,0.611,0.7348,0.6761,0.5094,0.9168,0.5074
CAPZB,0.19,0.3169,0.9518,0.3585,0.8624,0.3778,0.8649,0.4931,0.9844,0.5386
RN7SL277P,0.2173,0.7029,0.9258,0.047,0.3296,0.393,0.009,0.6925,0.35,0.141
MICOS10,0.0063,0.488,0.5259,0.3291,0.1097,0.092,0.0096,0.9361,0.9136,0.8137
NBL1,0.421,0.7118,0.4256,0.5272,0.5682,0.0481,0.9616,0.2536,0.7073,0.1733
AL031727.1,0.2869,0.7373,0.6844,0.0238,0.1729,0.2948,0.0179,0.9401,0.1156,0.1662
HTR6,0.4384,0.4917,0.9516,0.6155,0.5474,0.071,0.394,0.1515,0.6259,0.1885
TMCO4,0.6257,0.7016,0.4203,0.4588,0.9231,0.7944,0.3879,0.7705,0.2292,0.268
OTUD3,0.0291,0.6798,0.0084,0.3068,0.1061,0.6054,0.2042,0.047,0.5297,0.1047
PLA2G2A,0.3341,0.1007,0.0001,0.3258,0.6457,1.0,0.5285,0.4618,1.0,1.0
PLA2G5,1.0,0.4049,0.7041,0.9548,0.1883,0.1406,0.9923,1.0,1.0,0.8561
PLA2G2D,0.1977,0.9329,0.8745,0.7114,0.9031,0.823,0.808,0.9656,0.7596,0.7871
PLA2G2F,0.9857,0.4542,0.73,0.9843,1.0,0.6573,0.6879,0.2781,1.0,0.6564
Z98257.1,0.0934,0.0001,0.0782,0.0906,1.0,0.2815,0.5787,0.4718,1.0,0.4387
PLA2G2C,0.7662,0.7834,0.7032,0.0187,0.0001,0.1147,0.0013,0.1862,0.0139,0.0791
UBXN10-AS1,0.6279,0.9754,0.1114,0.7146,0.9551,0.9941,1.0,0.6388,0.4591,0.2311
UBXN10,0.2535,0.5117,0.7365,0.4351,0.1227,0.5815,0.8408,0.3986,0.1256,0.6778
VWA5B1,0.8274,0.9232,0.1565,0.1029,0.91,0.6824,0.5898,0.4073,0.318,0.8323
LINC01141,0.0001,0.0783,0.0001,0.0116,0.1177,0.0001,0.0446,0.1747,0.2861,0.0434
CAMK2N1,0.4044,0.0688,0.1087,0.5514,0.3993,0.4301,0.6714,0.6754,0.3602,0.7004
MUL1,0.7291,0.5831,0.5036,0.8266,0.3989,0.7539,0.5961,0.3181,0.7473,0.4726
CDA,0.6664,0.583,0.8377,0.7938,0.4245,0.621,0.8376,0.8762,0.3418,0.5269
PINK1,0.5243,0.5891,0.3056,0.8613,0.1978,0.7068,0.4373,0.2088,0.9065,0.3785
PINK1-AS,0.2229,0.2638,0.8995,0.7513,0.9645,0.3354,0.41,0.3729,0.4347,0.738
DDOST,0.789,0.433,0.6814,0.3327,0.5309,0.5852,0.4556,0.3258,0.8246,0.2918
KIF17,0.7693,0.901,0.7856,0.3094,0.983,1.0,0.7573,0.7924,0.4592,0.6796
SH2D5,0.4875,0.9713,0.3787,0.7903,0.3193,0.7578,0.1651,0.4924,0.6969,0.3977
HP1BP3,0.018,0.8314,0.0335,0.4677,0.1077,0.7239,0.0324,0.0729,0.3207,0.0264
EIF4G3,0.1355,0.5144,0.1177,0.3251,0.337,0.798,0.0063,0.4248,0.0263,0.0202
MIR1256,0.7772,0.9491,0.721,0.9078,1.0,1.0,1.0,1.0,1.0,1.0
RPS15AP6,0.4329,0.7188,0.7542,0.0141,0.3446,0.6324,0.0049,0.9703,0.1692,0.1864
AL627311.1,0.9518,0.1215,0.1467,0.9541,0.1172,0.4609,0.0001,1.0,0.1913,0.2349
HSPE1P27,0.5519,0.5764,0.0306,0.0397,0.8788,0.1456,0.0828,0.5105,0.5844,0.8542
ECE1,0.947,0.9522,0.9248,0.7911,0.8595,0.8792,0.8298,0.9892,0.633,0.7444
AL031005.1,1.0,0.9977,0.5339,0.5451,0.8487,0.7226,0.7105,0.4644,0.4662,0.0001
AL031728.1,0.7084,0.7716,0.5404,0.6068,0.3018,0.2884,0.3353,0.7172,0.8326,0.9027
NBPF2P,0.8456,0.3025,0.7406,0.8305,0.3213,0.8936,1.0,0.1558,0.1638,0.9216
HS6ST1P1,0.0454,0.9515,0.7181,0.7105,0.2007,0.1887,0.1925,0.0001,0.0001,0.0001
NBPF3,0.3006,0.4016,0.0238,0.4465,0.9028,0.4663,0.1337,0.3037,0.0518,0.0076
PFN1P10,0.3296,0.0001,0.3346,0.329,1.0,0.695,1.0,1.0,1.0,0.6904
ALPL,0.516,1.0,0.2051,0.0446,0.4721,0.1913,0.07,0.575,0.3298,0.6405
RAP1GAP,0.1121,0.2672,0.3683,0.0635,0.5399,0.6305,0.8177,0.9964,0.5137,0.5242
USP48,0.0764,0.41,0.0433,0.0912,0.2778,0.6789,0.0026,0.2702,0.0036,0.0009
AL590103.1,0.8612,0.2455,0.2159,0.2028,0.217,0.3616,0.2919,0.8399,0.8206,1.0
LDLRAD2,0.8154,0.5096,0.9265,0.7027,0.0329,0.8116,0.2302,0.0204,0.4127,0.2897
HSPG2,0.3504,0.7614,0.6462,0.893,0.2473,0.6663,0.3546,0.2677,0.6616,0.4836
AL590556.1,0.338,0.0001,0.3356,0.3289,1.0,0.8577,1.0,1.0,1.0,0.8654
CELA3B,0.7176,0.073,0.7079,0.7232,0.0063,0.0001,0.0001,0.1873,0.1902,0.0001
LINC01635,0.6738,0.4785,0.0505,0.9897,0.6366,0.041,0.4631,0.1653,0.2799,0.0087
LINC00339,0.6922,0.6079,0.5754,0.1923,0.7047,0.6501,0.3948,0.9816,0.4908,0.5103
CDC42,0.6532,0.4022,0.2768,0.235,0.2277,0.5766,0.1191,0.0987,0.6397,0.039
AL031281.2,0.7188,0.5701,0.4104,0.1715,0.6963,0.6089,0.3981,0.8587,0.4821,0.5457
AL031281.3,0.1978,0.8913,0.7157,0.3386,0.522,0.3048,0.1572,0.6982,0.3722,0.6793
CDC42-IT1,0.7645,0.7154,0.3417,0.3916,0.7436,0.3755,0.18,0.379,0.1606,0.7937
AL031281.1,0.1677,0.9552,0.83,0.7053,0.1379,0.2511,0.0173,0.9446,0.6562,0.6101
WNT4,0.7091,0.4548,0.8568,0.7852,0.4699,0.6047,0.7994,0.3323,0.3514,0.7515
AL445253.1,0.2316,0.5438,0.732,0.4121,0.9668,0.7102,0.8873,0.8067,0.7459,0.7724
AL591122.1,0.0001,0.0001,0.0001,0.024,0.0001,0.0001,0.1987,0.0001,0.1593,0.1927
ZBTB40,0.0664,0.5286,0.0793,0.7861,0.26,0.853,0.1766,0.4715,0.7493,0.2892
ZBTB40-IT1,0.7777,0.9742,0.3341,1.0,0.5128,0.6128,0.6901,1.0,1.0,1.0
EPHA8,0.9551,0.9722,0.7852,0.5051,0.4579,0.2791,0.4583,0.8078,1.0,0.9936
EPHB2,0.7191,0.0318,0.9313,0.9847,0.1159,0.6898,0.8175,0.0015,0.1258,0.9583
TEX46,0.586,0.2605,0.2368,0.323,1.0,1.0,1.0,0.0001,1.0,0.0673
KDM1A,0.3856,0.5731,0.4868,0.1615,0.7196,0.8076,0.0946,0.8537,0.0209,0.0419
AL031428.1,0.0194,0.2072,0.0147,0.4992,0.604,0.9725,0.1305,0.5733,0.6612,0.1003
LUZP1,0.1239,0.3573,0.0062,0.5642,0.5736,0.4759,0.5145,0.1621,0.8743,0.1691
AL161672.1,0.9946,0.9005,0.0845,0.0593,1.0,0.3085,0.1751,0.4398,0.3184,0.9816
RNU6-514P,0.5283,0.5585,0.7992,0.5334,0.0001,0.4225,0.0001,1.0,0.0001,1.0
HTR1D,0.7593,0.7796,0.9287,0.9601,1.0,0.7822,0.1183,0.7248,0.1172,0.3756
LINC01355,0.0722,0.9104,0.1563,0.7303,0.1138,0.9925,0.0553,0.3531,0.5621,0.1688
AL109936.6,0.4628,0.7582,0.0502,0.5305,0.6516,0.3399,0.9536,0.3254,0.7519,0.3456
HNRNPR,0.3026,0.9355,0.3606,0.2123,0.3678,0.8456,0.0595,0.3976,0.1323,0.0556
ZNF436,0.1265,0.9054,0.0763,0.1717,0.1262,0.7253,0.0041,0.1152,0.1121,0.007
