Name,Description,GSM1312748.Yakut.rnaseqccounts,GSM1312745.Yakut.rnaseqccounts,GSM1312749.Yakut.rnaseqccounts,GSM1312744.Yakut.rnaseqccounts,GSM1312747.Yakut.rnaseqccounts,GSM1312746.Yakut.rnaseqccounts
ENSG00000129691.15,ASH2L,604,494,583,398,772,571
ENSG00000253437.1,RNU6-988P,0,0,0,0,0,0
ENSG00000240015.2,AC084024.1,0,0,1,2,3,1
ENSG00000147465.11,STAR,4,2,0,4,5,10
ENSG00000253356.1,AC084024.3,324,141,261,144,413,273
ENSG00000175324.10,LSM1,594,301,414,250,623,495
ENSG00000253739.1,RNU6-323P,0,0,1,0,0,0
ENSG00000156735.11,BAG4,603,173,241,282,379,298
ENSG00000248585.2,AC084024.2,3,0,0,0,5,4
ENSG00000285632.1,AC084024.4,12,7,8,7,8,7
ENSG00000085788.13,DDHD2,491,548,435,613,465,557
ENSG00000147535.17,PLPP5,476,208,330,344,309,497
ENSG00000147548.17,NSD3,907,1186,860,1043,1042,967
ENSG00000255487.1,AC087362.2,0,1,0,0,1,2
ENSG00000254898.1,AC087362.1,0,6,2,1,0,4
ENSG00000272092.1,AC087623.2,4,8,4,2,12,7
ENSG00000165046.12,LETM2,30,18,34,28,60,42
ENSG00000077782.20,FGFR1,79,1106,255,536,811,274
ENSG00000272159.1,AC087623.3,25,4,15,8,26,19
ENSG00000255201.1,AC087623.1,0,11,0,7,1,0
ENSG00000239218.2,RPS20P22,2,13,6,15,3,10
ENSG00000196166.4,C8orf86,0,0,0,2,0,0
ENSG00000253361.2,AC069120.1,0,0,0,0,0,0
ENSG00000253570.1,RNF5P1,8,37,27,15,38,12
ENSG00000254321.1,AC016813.1,0,2,0,0,0,0
ENSG00000147526.20,TACC1,3174,4143,4964,4464,8537,3876
ENSG00000207258.1,RF00019,0,0,0,0,0,0
ENSG00000253586.1,AC067817.1,1,0,1,0,0,0
ENSG00000253829.1,AC067817.2,1,3,2,4,31,8
ENSG00000169499.15,PLEKHA2,767,809,612,538,1269,1031
ENSG00000253645.1,AC108863.1,83,74,77,56,154,93
ENSG00000169495.5,HTRA4,0,0,2,0,4,0
ENSG00000169490.17,TM2D2,278,179,217,204,489,295
ENSG00000168615.12,ADAM9,249,263,124,332,107,220
ENSG00000207199.1,RF00212,0,0,0,0,0,0
ENSG00000197140.15,ADAM32,0,0,0,0,0,0
ENSG00000243095.1,RPL3P10,0,0,0,0,0,0
ENSG00000253160.1,AC105185.1,0,0,0,0,0,0
ENSG00000196115.13,ADAM5,0,0,0,0,0,0
ENSG00000197475.11,ADAM3A,2,0,0,0,0,0
ENSG00000254067.2,AC123767.1,0,0,0,0,0,0
ENSG00000168619.16,ADAM18,0,0,0,0,0,0
ENSG00000104755.15,ADAM2,0,0,0,0,0,0
ENSG00000253332.1,AP005902.2,0,0,0,0,0,0
ENSG00000253233.1,AP005902.1,0,0,0,0,0,0
ENSG00000131203.13,IDO1,0,0,0,0,0,0
ENSG00000253939.1,AC007991.3,0,0,0,0,0,0
ENSG00000253838.1,AC007991.2,0,0,0,0,0,0
ENSG00000254287.1,AC007991.4,0,0,0,0,0,0
ENSG00000188676.13,IDO2,0,0,0,0,0,0
ENSG00000253790.1,AC007991.1,0,0,0,0,0,0
ENSG00000253381.1,AC087518.1,0,0,0,0,0,0
ENSG00000253665.1,AC022733.1,0,0,0,0,0,0
ENSG00000176907.4,TCIM,0,0,0,0,0,0
ENSG00000254143.1,AC022733.2,0,0,0,0,0,0
ENSG00000253802.1,SIRLNT,0,0,0,0,0,0
ENSG00000253354.1,AC105999.1,0,0,0,0,0,0
ENSG00000272479.1,AC010857.1,0,0,0,0,0,0
ENSG00000165061.15,ZMAT4,0,0,0,0,0,0
ENSG00000254383.1,AC048387.1,0,0,0,0,0,0
ENSG00000206867.1,RNU6-356P,0,0,0,0,0,0
ENSG00000104332.12,SFRP1,0,0,0,0,0,8
ENSG00000263372.1,MIR548AO,0,0,0,0,0,0
ENSG00000239281.2,RPS29P2,0,0,0,0,0,0
ENSG00000253509.1,AC104393.1,0,0,0,0,0,0
ENSG00000206852.1,RNU6-895P,0,0,0,0,0,0
ENSG00000238936.1,SNORD65B,0,0,0,0,0,0
ENSG00000253396.1,AC016868.1,0,0,0,0,0,0
ENSG00000147533.16,GOLGA7,449,445,346,492,470,491
ENSG00000253943.1,KRT18P37,0,0,0,0,0,0
ENSG00000147536.12,GINS4,253,323,285,234,370,447
ENSG00000253133.1,AC009630.1,1,4,7,4,2,12
ENSG00000253174.2,AC009630.2,155,113,101,66,134,196
ENSG00000158669.11,GPAT4,381,931,380,641,823,576
ENSG00000264578.1,AC009630.3,33,112,58,69,164,73
ENSG00000165066.12,NKX6-3,0,0,0,0,0,2
ENSG00000029534.20,ANK1,10,1066,38,364,28,84
ENSG00000274705.2,MIR486-1,0,0,0,0,0,0
ENSG00000283450.1,MIR486-2,0,0,0,0,0,0
ENSG00000253389.2,AC113133.1,2,6,6,3,0,8
ENSG00000207101.1,RF00019,0,0,0,0,0,0
ENSG00000260588.1,AC027702.1,0,7,0,10,1,2
ENSG00000241834.3,RN7SL149P,0,0,0,0,0,0
ENSG00000083168.11,KAT6A,351,878,453,649,798,553
ENSG00000238966.1,RF01169,0,0,0,0,0,0
ENSG00000244235.2,AC103724.1,0,0,0,0,0,0
ENSG00000253135.1,AC103724.2,0,0,0,0,0,0
ENSG00000271938.1,AC103724.4,0,0,0,0,0,0
ENSG00000261449.1,AC103724.3,0,0,0,0,0,2
ENSG00000070718.12,AP3M2,405,422,350,280,645,519
ENSG00000104368.17,PLAT,9,6,5,3,13,9
ENSG00000253408.5,AC083973.1,2,2,2,0,0,0
ENSG00000104365.15,IKBKB,375,532,394,403,665,584
ENSG00000070501.12,POLB,200,76,173,103,155,206
ENSG00000240395.1,RPL5P23,4,3,8,2,11,5
ENSG00000104371.5,DKK4,2,0,2,0,0,0
ENSG00000078668.14,VDAC3,1769,980,1536,1078,1788,1543
ENSG00000168575.10,SLC20A2,70,90,91,73,147,155
ENSG00000254131.1,AC093367.1,0,0,0,0,3,1
ENSG00000254165.1,AC090739.1,11,9,0,11,9,20
ENSG00000176209.11,SMIM19,549,132,394,251,586,554
ENSG00000147432.6,CHRNB3,0,0,0,0,0,0
ENSG00000255101.1,AC103843.1,0,0,0,0,0,0
ENSG00000255361.1,AC103843.2,0,0,0,0,0,0
ENSG00000147434.8,CHRNA6,0,24,9,4,15,12
ENSG00000131931.8,THAP1,198,91,87,118,91,158
ENSG00000120925.16,RNF170,150,66,100,139,113,173
ENSG00000242719.3,RN7SL806P,0,0,0,0,0,0
ENSG00000284062.1,MIR4469,0,0,0,0,0,0
ENSG00000168172.9,HOOK3,623,430,470,730,633,588
ENSG00000202514.1,RF00019,0,0,0,0,0,0
ENSG00000168522.13,FNTA,949,416,587,490,774,726
ENSG00000200731.1,RNU1-124P,0,0,0,0,0,0
